,"Объем, тыс. руб",Процент
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",97675869,6.99477846062631
Добыча полезных ископаемых,48414630,3.4670754872239
Обрабатывающие производства,396874353,28.4210235789088
Обеспечение электрической энергией,39909806,2.85802680062744
"Водоснабжение, водоотведение, сбор отходов, ликвидация загрязнений",12475419,0.89339151012302
Строительство,100968226,7.23055120638292
"Торговля оптовая и розничная, ремонт автотехники",216065149,15.4728887061882
Траспортировка и хранение,108221662,7.74998531449749
Деятельность гостиниц и общепита,16991546,1.21680105015028
Деятельность в области информации и связи,37431743,2.68056739459466
Деятельность финансовая и страховая,3346352,0.239639443507524
Деятельность по операциям с недвижимостью,46601237,3.33721452538233
"Деятельность профессиональная, научная и техническая",49936478,3.57605828635054
Деятельность административная и доп. услуги,30024807,2.15014082227476
Гос. Управление и обеспечение военной безопасности. Соц. Обеспечение,55312049,3.96101445443303
Образование,56313113,4.03270279441502
Деятельность в области здравоохранения,62781254,4.49590024338877
"Деятельность в области культуры, спорта и развлечений",9340254,0.668875620609823
Предоставление прочих видов услуг,7727241,0.553364300315245
,1396411188,100
,,
,,
,,
,,
,,
,,
,,
,,
Обрабатывающие производства,396874353,28
"Торговля оптовая и розничная, ремонт автотехники",216065149,15
Траспортировка и хранение,108221662,7
Строительство,100968226,7
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",97675869,6
Другое,476605929,34
